# Edges Betweenness Centrality,Propability
0.003529,0.000949
0.003531,0.000949
0.003533,0.000949
0.003564,0.000949
0.003577,0.000949
0.003581,0.000949
0.003584,0.000949
0.003618,0.000949
0.003622,0.000949
0.003654,0.000949
0.003676,0.000949
0.003690,0.003795
0.003695,0.000949
0.003730,0.000949
0.003774,0.000949
0.003776,0.000949
0.003803,0.000949
0.003820,0.000949
0.003867,0.000949
0.003922,0.000949
0.003972,0.000949
0.003983,0.000949
0.003986,0.000949
0.004015,0.000949
0.004053,0.000949
0.004094,0.000949
0.004111,0.000949
0.004171,0.000949
0.004218,0.000949
0.004240,0.000949
0.004240,0.000949
0.004244,0.000949
0.004263,0.001898
0.004270,0.000949
0.004271,0.000949
0.004279,0.000949
0.004298,0.000949
0.004331,0.000949
0.004348,0.000949
0.004370,0.000949
0.004432,0.000949
0.004473,0.000949
0.004492,0.000949
0.004496,0.000949
0.004496,0.000949
0.004497,0.000949
0.004515,0.000949
0.004525,0.000949
0.004548,0.000949
0.004564,0.000949
0.004565,0.000949
0.004566,0.000949
0.004577,0.000949
0.004603,0.000949
0.004643,0.000949
0.004646,0.000949
0.004659,0.000949
0.004660,0.000949
0.004701,0.000949
0.004701,0.000949
0.004734,0.000949
0.004745,0.000949
0.004756,0.000949
0.004766,0.000949
0.004776,0.000949
0.004780,0.000949
0.004832,0.000949
0.004867,0.000949
0.004876,0.000949
0.004884,0.000949
0.004902,0.000949
0.004915,0.001898
0.004920,0.002846
0.004926,0.031309
0.004926,0.000949
0.004962,0.000949
0.004989,0.000949
0.004992,0.000949
0.004995,0.000949
0.005000,0.000949
0.005041,0.001898
0.005056,0.000949
0.005058,0.000949
0.005067,0.000949
0.005072,0.000949
0.005120,0.000949
0.005240,0.000949
0.005283,0.001898
0.005386,0.000949
0.005389,0.000949
0.005473,0.000949
0.005476,0.000949
0.005477,0.000949
0.005543,0.000949
0.005547,0.000949
0.005579,0.000949
0.005594,0.000949
0.005628,0.000949
0.005630,0.000949
0.005630,0.000949
0.005641,0.000949
0.005673,0.000949
0.005673,0.000949
0.005733,0.000949
0.005735,0.000949
0.005769,0.000949
0.005793,0.000949
0.005868,0.000949
0.006139,0.000949
0.006141,0.005693
0.006143,0.000949
0.006167,0.000949
0.006170,0.000949
0.006349,0.000949
0.006359,0.000949
0.006388,0.000949
0.006417,0.000949
0.006497,0.000949
0.006555,0.000949
0.006578,0.000949
0.006612,0.000949
0.006678,0.000949
0.006726,0.000949
0.006733,0.001898
0.006769,0.000949
0.006789,0.000949
0.006790,0.000949
0.006925,0.000949
0.007036,0.000949
0.007040,0.000949
0.007046,0.000949
0.007064,0.000949
0.007098,0.000949
0.007197,0.000949
0.007206,0.000949
0.007229,0.000949
0.007243,0.000949
0.007258,0.000949
0.007380,0.018975
0.007380,0.000949
0.007416,0.000949
0.007509,0.000949
0.007513,0.000949
0.007529,0.000949
0.007634,0.000949
0.007636,0.000949
0.007643,0.000949
0.007709,0.000949
0.007751,0.000949
0.007754,0.000949
0.007892,0.000949
0.007900,0.000949
0.007951,0.000949
0.008073,0.000949
0.008082,0.000949
0.008124,0.000949
0.008252,0.000949
0.008307,0.000949
0.008329,0.000949
0.008349,0.000949
0.008355,0.000949
0.008448,0.000949
0.008465,0.000949
0.008485,0.000949
0.008594,0.000949
0.008671,0.000949
0.008755,0.000949
0.008796,0.000949
0.008846,0.001898
0.008867,0.000949
0.008893,0.000949
0.008985,0.000949
0.008998,0.000949
0.009001,0.000949
0.009001,0.000949
0.009107,0.000949
0.009150,0.000949
0.009236,0.000949
0.009247,0.000949
0.009313,0.000949
0.009365,0.000949
0.009412,0.000949
0.009417,0.000949
0.009457,0.000949
0.009488,0.000949
0.009491,0.000949
0.009511,0.000949
0.009629,0.000949
0.009637,0.000949
0.009768,0.000949
0.009797,0.000949
0.009804,0.000949
0.009828,0.007590
0.009836,0.000949
0.009840,0.000949
0.009850,0.000949
0.009869,0.000949
0.009967,0.000949
0.010003,0.000949
0.010086,0.000949
0.010108,0.000949
0.010135,0.000949
0.010151,0.000949
0.010157,0.000949
0.010225,0.000949
0.010239,0.000949
0.010457,0.000949
0.010463,0.000949
0.010473,0.000949
0.010475,0.001898
0.010568,0.000949
0.010649,0.000949
0.010804,0.000949
0.011029,0.000949
0.011420,0.000949
0.011439,0.000949
0.011521,0.000949
0.011613,0.000949
0.011676,0.000949
0.011828,0.000949
0.012177,0.000949
0.012188,0.000949
0.012194,0.000949
0.012194,0.000949
0.012211,0.000949
0.012270,0.006641
0.012421,0.001898
0.012450,0.000949
0.012524,0.000949
0.012642,0.000949
0.012757,0.000949
0.012777,0.001898
0.012866,0.000949
0.012898,0.000949
0.013018,0.001898
0.013043,0.000949
0.013098,0.000949
0.013121,0.000949
0.013195,0.000949
0.013272,0.000949
0.013325,0.000949
0.013330,0.000949
0.013345,0.000949
0.013388,0.000949
0.013438,0.000949
0.013564,0.000949
0.013906,0.000949
0.013930,0.000949
0.014008,0.000949
0.014072,0.001898
0.014486,0.000949
0.014559,0.000949
0.014705,0.002846
0.014776,0.000949
0.014829,0.000949
0.014981,0.000949
0.015152,0.000949
0.015172,0.000949
0.015229,0.000949
0.015462,0.000949
0.015570,0.000949
0.015772,0.000949
0.015859,0.000949
0.015997,0.000949
0.016203,0.000949
0.016203,0.000949
0.016209,0.000949
0.016298,0.000949
0.016318,0.000949
0.016412,0.000949
0.016529,0.000949
0.016573,0.000949
0.016617,0.001898
0.016827,0.000949
0.017135,0.000949
0.017147,0.000949
0.017147,0.000949
0.017369,0.000949
0.017446,0.000949
0.017476,0.000949
0.017581,0.000949
0.017628,0.000949
0.017663,0.000949
0.017835,0.000949
0.018049,0.000949
0.018203,0.000949
0.018287,0.000949
0.018335,0.000949
0.018538,0.000949
0.018628,0.000949
0.018790,0.000949
0.018846,0.000949
0.018855,0.000949
0.018944,0.000949
0.019276,0.000949
0.019314,0.000949
0.019314,0.000949
0.019499,0.000949
0.019645,0.000949
0.019655,0.000949
0.019668,0.000949
0.019856,0.000949
0.019856,0.000949
0.019862,0.000949
0.019952,0.000949
0.020146,0.000949
0.020367,0.000949
0.020380,0.000949
0.020523,0.000949
0.021169,0.000949
0.021497,0.000949
0.021960,0.000949
0.021976,0.000949
0.022123,0.000949
0.022301,0.000949
0.022306,0.000949
0.022348,0.000949
0.022473,0.000949
0.022591,0.000949
0.022606,0.000949
0.022654,0.000949
0.022748,0.000949
0.022800,0.000949
0.022929,0.000949
0.023154,0.000949
0.023184,0.000949
0.023549,0.000949
0.023635,0.000949
0.023654,0.000949
0.024121,0.000949
0.024141,0.000949
0.024559,0.000949
0.024761,0.000949
0.025255,0.000949
0.025296,0.000949
0.025303,0.000949
0.025561,0.000949
0.025708,0.000949
0.025763,0.000949
0.026609,0.000949
0.026795,0.000949
0.026933,0.000949
0.027819,0.000949
0.028150,0.000949
0.028562,0.000949
0.030948,0.000949
0.031173,0.000949
0.031817,0.000949
0.031842,0.001898
0.032131,0.000949
0.032624,0.000949
0.032666,0.000949
0.032808,0.001898
0.032832,0.000949
0.033448,0.000949
0.033490,0.000949
0.034827,0.000949
0.034842,0.000949
0.035010,0.000949
0.035581,0.000949
0.035961,0.000949
0.038158,0.000949
0.038338,0.000949
0.038640,0.000949
0.039107,0.000949
0.039902,0.000949
0.040268,0.000949
0.040458,0.000949
0.041199,0.000949
0.042884,0.000949
0.042952,0.000949
0.043079,0.000949
0.046177,0.000949
0.046177,0.000949
0.046397,0.000949
0.046999,0.000949
0.046999,0.000949
0.048445,0.000949
0.048933,0.000949
0.049978,0.001898
0.050197,0.001898
0.050716,0.000949
0.051320,0.000949
0.051488,0.000949
0.051819,0.000949
0.052980,0.000949
0.053719,0.000949
0.054467,0.000949
0.056959,0.000949
0.057347,0.000949
0.057888,0.000949
0.058962,0.000949
0.059626,0.000949
0.066628,0.000949
0.070350,0.000949
0.075831,0.000949
0.079963,0.000949
0.080659,0.000949
0.080951,0.000949
0.081452,0.000949
0.083028,0.000949
0.084441,0.000949
0.084926,0.000949
0.089115,0.000949
0.089463,0.000949
0.090983,0.000949
0.096905,0.000949
0.099491,0.000949
0.100120,0.000949
0.101300,0.000949
0.102367,0.000949
0.105732,0.000949
0.114330,0.000949
0.114396,0.000949
0.114431,0.000949
0.118887,0.000949
0.122463,0.000949
0.125018,0.000949
0.125665,0.000949
0.126815,0.000949
0.128863,0.000949
0.128910,0.000949
0.129639,0.000949
0.130056,0.000949
0.137416,0.000949
0.143158,0.000949
0.147169,0.000949
0.150119,0.000949
0.161511,0.000949
